US OPEN DATA POLICY COMPARISON ,"Washington, D.C.","Portland, OR","Memphis, TN","San Francisco, CA","Cook County, IL","Lexington-Fayette County, KY","Austin, TX","Raleigh, NC","New York City, NY","Providence, RI","Philadelphia, PA","Montgomery County, MD","Chicago, IL","Madison, WI",Utah,New York,Hawaii,"Tulsa, OK",New Hampshire,"South Bend, IN","Louisville/Jefferson County metro government, KY ","Oakland, CA","West Sacremento, CA"
8. Mandate open formats for government data.,n/a ,"""Develop a strategy to adopt prevailing open standards for data documents maps and other formats of media""",n/a,"""Use open non-proprietary standards when practicable."" / ""[P]ublish data sets with reasonable user-friendly registration requirements license requirements or restrictions on the use and distribution of data sets"" ",,"""[A]dopt prevailing open standards for data."" ","""To the extent practicable and consistent with applicable law and policy each City department
or other entity (""Department"") shall make reasonable efforts to make available for publication all
data sets under the Departments control in an open format that is platform independent machine
readable and made available to the public without restrictions that impede the re-use of that
information.""","""The City of Raleigh will establish an open data website at
www.raleigl1nc.gov/open that will serve as an open data catalog ofthe data available from the City
of Raleigh in open formats.""

","""The council hereby finds and declares that it is in the best interest of New York city that its agencies and departments make their data available online using open standards. (""Open standard"" means a technical standard developed and maintained by a voluntary consensus standards body that is available to the public without royalty or fee.) Making city data available online using open standards will make the operation of city government more transparent effective and accountable to the public. It will streamline intra-governmental and inter-governmental communication and interoperability permit the public to assist in identifying efficient solutions for government promote innovative strategies for social progress and create economic opportunities."" and ""Such public data sets shall be accessible to external search capabilities.""",n/a,"""To the extent practicable and subject to valid restrictions agencies shall publish information on line (in addition to other planned or mandated publication methods) and in an open format. The open format will provide data in a form that can be retrieved downloaded indexed searched and reused by commonly used web search applications and software. Such information shall subject to legal and practical restrictions and to the City’s Social Media Use Policy be made available to the public without restrictions that would impede re-use of the information.""","""A public data set must be in a format that permits automated processing and must make use of appropriate technologv to notify the public o f all updates.""","Data in the portal created by this policy will ""use a format that permits automated processing of such data; (ii) use appropriate technology to notify the public of updates to the data; and (iii) be accessible to external search capabilities.""","It requires that data be ""made available in accordance with technical standards published by the IT Department and...in a format that permits automated processing using open standards where practical.""","It mentions it will ""develop standards to make uniform the format and accessibility of public information posted to the information website;"" It also states ""the board shall be guided by principles that encourage:  (A) the establishment of a standardized format of public information that makes the information more easily accessible by the public;""","The Open Data Handbook shall ""provide uniform standards for the format of data submitted for publication on the Open Data Website.""","It requires the CIO to issue ""Technical requirements with the goal of making data sets available to the greatest number of users and for the greatest number of applications including whenever practicable the use of machine readable non-proprietary technical standards for web publishing""","It endorses ""the goal to analyze and adopt prevailing open standards for data documents maps and other formats of media."" ","""Open data format means the organization of digital data within a computer file in a manner that makes it accessible for all to implement and use in perpetuity with no royalty or fee. The published specification for the open data format is usually maintained by a standards organization.""","In the introductory language and Open Data & Open Format language. ""WHEREAS, the City of South Bend whenever possible shall procure technology and use efficient processes which advance the goal of making public data and information open and available consistent with APRA through the use of open data standards and formats; and

WHEREAS, the City of South Bend’s Division of Information and Technologies is positioned to work with other City agencies to find and provide access to public data and information; to make that information freely available online in a machine-readable, open format, which can be easily retrieved, downloaded, indexed, sorted, searched, analyzed and reused utilizing readily available Web search applications and software; and"" and ""Open Data or Information means public data or information made readily available online, utilizing best practice structures and formats when possible.
Open Format is any widely accepted, nonproprietary, searchable, platform-independent, machine-readable method for formatting data.""","In the introductory language and Open Data and Open Format defintion. ""WHEREAS, by publishing structured standardized data in machine readable formats the Louisville Metro Government seeks to encourage the local software community to develop software applications and tools to collect, organize, and share public record data in new and innovative ways; and"" and ""(A) 'Open Data' means any public record as defined by the Kentucky Open Records Act, which could be made available online using Open Format data, as well as best practice Open Data structures and formats when possible. Open Data is not information that is treated exempt under KRS 61.878 by Metro Government."" and ""(C) 'Open Format' is any widely accepted, nonproprietary, platform- independent, machine-readable method for formatting data, which permits automated processing of such data and is accessible to external search capabilities.""",,"In the introductory language and vaguely in the Open Standards §. ""WHEREAS, publishing structured standardized data in a machine readable formats creates new opportunities for data from different sources to be combined and visualized in new and unexpected ways; and"" and ""• Open Standards - the City of West Sacramento will move as quickly as possible to adopt prevailing open standards for data, documents, maps, and other formats of media; """
9. Require public information be posted online.,"""Publish the data to the www.dc.gov site"" (data unspecified)",n/a,The policy requires posting listed datasets to the city website.,"Allows CDO and COIT to determine standards of release.  / ""Data sets should be free of charge to the public through the web portal."" ",,n/a,n/a,n/a,,"Close fit: ""Propose a mechanism to make public information hearings and votes accessible by suggesting changes to the way information is organized and presented on the City’s website""
",n/a /Only designates data be published ot the citys data portal.,"If information is not made available there must be an explanation: ""2-154. Public data set availability. An agency must make a public data set available on a single web portal on the Internet within 1 yr after this Article takes effect. If an agency cannot make a public data set available the agency must report to Executive and Council: (1) which public data set it is unable to make available; (2) the reasons whv the agency cannot make the public data set available; and (3)  the date by which the agency expects the public data set to be available on the single web portal.""","To be considered ""public"" data must be published on the citys data portal so this technically meets the Guideline provision though in a recursive manner that does not apply outside the scope of the policys limited approval.","It requires diligence to ensure that so-defined ""public data"" be published on the citys portal (barring the variety of exemptions and waivers that agencies can apply). ",Policy calls for the identification of public information not currently made available online and the implementation of a process including timeline and benchmarks for making that information available.,"It covers certain kinds of ""Publishable State Data"" but leaves rooms for State (and local) entities to determine what that data is (following the guidence established in the Open Data Handbook). ","It talks about making ""electronic data sets maintained by the department electronically available to the public through the States open data portal at data.hawaii.gov or successor website designated by the chief information officer.""",n/a,n/a,"introductory language and Open Data defintion. ""WHEREAS, the City of South Bend’s Division of Information and Technologies is positioned to work with other City agencies to find and provide access to public data and information; to make that information freely available online in a machine-readable, open format, which can be easily retrieved, downloaded, indexed, sorted, searched, analyzed and reused utilizing readily available Web search applications and software; and"" and ""Open Data or Information means public data or information made readily available online, utilizing best practice structures and formats when possible.""","In the introductory language and Open Data defintion. ""WHEREAS, by publishing structured standardized data in machine readable formats the Louisville Metro Government seeks to encourage the local software community to develop software applications and tools to collect, organize, and share public record data in new and innovative ways; and"" and ""(A) 'Open Data' means any public record as defined by the Kentucky Open Records Act, which could be made available online using Open Format data, as well as best practice Open Data structures and formats when possible. Open Data is not information that is treated exempt under KRS 61.878 by Metro Government.""",,
"10. Remove restrictions for accessing information. [Open, non-fee, access]",n/a,"""Enter into agreements with our regional partners to publish and maintain public datasets that are open and freely available ... ""","The policy asserts more specific and timely acknowledgement of public records requests and that in the event of ""illegal activities on the part of an official employee or any individual"" within government the ""records pertaining to the impropriety and information regarding the matter will be made available ... in as timely a manner as possible...""","""Publish data sets with reasonable user-friendly registration requirements license requirements or restrictions on the use and distribution of data sets"" ",,"""[D]evelop agreements with regional partners to publish and maintain public data sets that are open and freely available while respecting privacy and security concerns."" ",n/a,n/a,"""Such public data sets shall be made available without any registration requirement license requirement or restrictions on their use provided that the department may require a third party providing to the public any public data set or application utilizing such data set to explicitly identify the source and version of the public data set and a description of any modifications made to such public data set. Registration requirements license requirements or restrictions as used in this section shall not include measures required to ensure access to public data sets to protect the single web site housing public data sets from unlawful abuse or attempts to damage or impair use of the web site or to analyze the types of data being used to improve service delivery.""",n/a,n/a,n/a,"""Any data set made accessible on the City of Chicago data portal shall (i) use a format that permits automated processing of such data; (ii) use appropriate technology to notify the public of updates to the data; and (iii) be accessible to external search capabilities.""","Data sets will be made available without any registration requirement or restrictions on their use with conditions related to unlawful use. The policy also states: ""The City reserves the right to discontinue availability of content on this website at any time and for any reason. The City
reserves the right to claim or seek to protect any patent copyright trademark or other intellectual property rights in any of the information images software or processes displayed or used at this website."" ",It explicitly states that recommendations for data disclosure and format selection will remove restrictions on the reuse of public information. ,"The Open Data Handbook will set forth terms of use for the ""Open Data Website"" established by this policy.","The data on data.hawaii.gov will be made available to ""third parties pursuant to a license which may require the licensee to allow any user to copy distribute display or create derivative works at no cost and with an appropriate level of conditions placed on the use.""",n/a,n/a,"""Freely available"" mentioned In the introductory language. ""WHEREAS, the City of South Bend’s Division of Information and Technologies is positioned to work with other City agencies to find and provide access to public data and information; to make that information freely available online in a machine-readable, open format, which can be easily retrieved, downloaded, indexed, sorted, searched, analyzed and reused utilizing readily available Web search applications and software; and""","The Open Data Management Team is required to make data freely available. ""(B) The Open Data Management Team will develop an Open Data management policy that will adopt prevailing Open Format standards for Open Data, and develop agreements with regional partners to publish and maintain Open Data that is open and freely available while respecting exemptions allowed by the Kentucky Open Records Act or other federal or state law.
""
",,
11. Remove restrictions on reuse. [Open licenses],n/a,n/a,n/a,"""Publish data sets with reasonable user-friendly registration requirements license requirements or restrictions on the use and distribution of data sets"" ",,"""[D]evelop agreements with regional partners to publish and maintain public data sets that are open and freely available while respecting privacy and security concerns."" ","""To the maximum extent allowed by law published data sets shall be made available without
any registration requirement license requirement or restrictions on their use""",n/a,"Regarding legal reuse: ""Such public data sets shall be made available without any registration requirement license requirement or restrictions on their use provided that the department may require a third party providing to the public any public data set or application utilizing such data set to explicitly identify the source and version of the public data set and a description of any modifications made to such public data set. Registration requirements license requirements or restrictions as used in this section shall not include measures required to ensure access to public data sets to protect the single web site housing public data sets from unlawful abuse or attempts to damage or impair use of the web site or to analyze the types of data being used to improve service delivery.""",n/a,"""Such information shall subject to legal and practical restrictions and to the City’s Social Media Use Policy be made available to the public without restrictions that would impede re-use of the information""","""A public data set must be made available without any registration or license requirement or restriction on use. However the Department may require a third party providing to the public any public data set or application utilizing that data set to explicitly identify the source and version of the public data set and describe any modification made to that data set. In this Section registration or license requirement or restriction does not include any measure required to:(1) assure access to a public data set; (2) protect the single web site housing a public data set from unlawful abuse or an attempt to damage or impair use of the web site; or (3) analyze the type of data being used to improve serviec delivery."" ","It does the opposite: ""b. The City of Chicago data portal and all public data contained on such portal shall be subject to Terms of Use developed by DOIT.  Such Terms of Use shall be posted by DOIT in a conspicuous place on the City of Chicago data portal."" ","Data sets will be made available without any license requirement or restrictions on their use although the government reserves the right to require that third party users of the data mark which version of the data theyre using and to describe any modifications made / [policy also states: ""The City reserves the right to discontinue availability of content on this website at any time and for any reason. The City reserves the right to claim or seek to protect any patent copyright trademark or other intellectual property rights in any of the information images software or processes displayed or used at this website.""]",It explicitly states that recommendations for data disclosure and format selection will remove restrictions on the reuse of public information. ,n/a,"The data on data.hawaii.gov will be made available to ""third parties pursuant to a license which may require the licensee to allow any user to copy distribute display or create derivative works at no cost and with an appropriate level of conditions placed on the use.""","It charges the city to ""explore licensing opportunities for software applications developed by the [city] such that they may be used by other municipalities businesses and/or the public.""",n/a,n/a,n/a,,
12. Require publishing metadata or other documentation.,"""To ensure the usability of the posted information datasets will be posted in a common format:"" ""Data specificiations - Description of the data fields (Metadata) the public can use to analyze operations""  ",n/a,n/a,"No mention of metadata but requires Data Coordinators to ensure updated data ""retain the original data structure.""",,n/a,"""All public data sets shall be made available with the descriptive information needed to understand what the data are and how and when they were collected understand what the data are and how and when they were collected.""",n/a,Not in Local Law 11. However referenced in DoITT technical guidance,n/a,n/a,"Data on the portal must include: ""Except as provided in subsection (d) the web portal must include: (1) each information request submitted to the County; .(2) the date when the County received the information request; (3)  the status o f the information request; (4) if the information request was not answered within 30 days after the County received it the reason for the delay; and(5)  the final response to the information request.""","""To the extent practicable"" city agencies shall publish appropriate data sets and associated metadata on the citys data portal","""Such public data sets shall have metadata (information about the data set) made available to the public through the single web portal.""",n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
13. Mandate the use of unique identifiers.,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"n/a
",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
14. Require digitization and distribution of archival materials.,"A ""web feed"" is to ""be made available on the Districts website"" in a collection labeled as ""Archive"" which is defined as ""[h]istorical records that represent longer time periods beyond the current dataset.""",n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"n/a
",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
15. Create a portal or websites devoted to data publication or policy.,"It is DCStats responsibility to ""[p]rovide"" a ""reliable DCStat repository adequately provisioned to host agency data.""",n/a,n/a,"The policy requires the use of ""the Citys Open Data website currently known as DataSF"" ",,n/a,n/a,"""The City of Raleigh will establish an open data website at
www.raleigl1nc.gov/open that will serve as an open data catalog ofthe data available from the City
of Raleigh in open formats.""

","""a. Within one year of the effective date of this chapter and thereafter the public data sets that agencies make available on the Internet shall be accessible through a single web portal that is linked to nyc.gov or any successor website maintained by or on behalf of the city of New York."" andweb portal admin: ""a. The department may take reasonable measures to maintain bandwidth availability of the web portal.
b. The department shall conspicuously publish the open data legal policy as provided in section 23-504 on the web portal.
c. The department shall implement an on-line forum to solicit feedback from the public and to encourage public discussion on open data policies and public data set availability on the web portal.
d. Requests received via the on-line forum for inclusion of particular public data sets shall be considered by agencies in making determinations as to priority for public data set inclusion on the single web portal pursuant to paragraph 5 of subdivision b of section 23-506 of this chapter.""","Post online and investigate other potential technology solutions: ""Propose a mechanism to make public information hearings and votes accessible by suggesting changes to the way information is organized and presented on the City’s website; and Investigate current technologies and propose the development of a state of the art citizen dashboard and applications to provide new capabilities that government departments can harness to improve services and responsiveness to its constituency at a lower cost""","""Within 90 days of the Chief Data Officers assumption of responsibilities the Office of Innovation and Technology shall establish a Portal that will serve as the source for Citywide and departmental activities with respect to this open government initiative. The Chief Innovation Officer in his discretion may build on previous open data initiatives or may establish a new portal.""","""Any public data set that an agency makes available on the Internet must be accessible through a single web portal that is linked to www.montgomerycountymd.gov or any successor website maintained by. or on behalf of the County""","The policy creates a ""single"" web portal to be maintained ""by or on behalf"" of the City of Chicago"" located at data.cityofchicago.org or its successor website. ","It creates a ""single web portal that is linked to the citys website"" for the publishing of city agency data.","It directs the Transparency Advisory Board to ""study the establishment of an information website and develop recommendations for its establishment."" ","It establishes an ""online Open Data Website for the collection and public dissemination of Publishable State data and to the extent feasible reports"" maintained at ""data.ny.gov or such other successor website"".","It talks about making ""electronic data sets maintained by the department electronically available to the public through the States open data portal at data.hawaii.gov or successor website designated by the chief information officer.""",n/a,n/a,"§2 of the policy covers the creation of a portal. ""2. Open Data Portal (a) A single web portal shall be: (i) established and maintained by or on behalf of the City; (ii) administered by the Division of Information Technologies or its successor Department; and (iii) located at data.southbendin.gov or its successor website.""","In Open Data Portal defnition and §2: ""(D) 'Open Data Portal' means the Internet site established and maintained by or on behalf of Metro Government, located at portallouisvilleky.goviservice/data or its successor website."" and ""Section 2. Open Data Portal. (A) The Open Data Portal shall serve as the authoritative source for Open Data provided by Metro Government (B) Any Open Data made accessible on Metro Government's Open Data Portal shall use an Open Format.""",,
16. Publish bulk data.,n/a,n/a,n/a,"No mention of bulk data per se but requires Data Coordinators to ensure updated data ""retain the original data structure""",,n/a,,n/a,Not in Local Law 11. However close fit in DoITT technical guidance,n/a,n/a,n/a,"n/a
",n/a,"It requires the publication of ""bulk public information.""",n/a,n/a,n/a,n/a,n/a,n/a,,
17. Create public APIs for accessing information.,"Close fit ""[s]upport development necessary to extract transfer and load agency data""",n/a,n/a,n/a,,n/a,"Close Fit: ""To the extent feasible published data sets shall be presented and structured in a format that
permits automated processing.""",n/a,"Close Fit: ""Such public data sets shall be made available in accordance with technical standards published by the department pursuant to section 23-505 of this chapter and shall be in a format that permits automated processing and shall make use of appropriate technology to notify the public of all updates.""",n/a,n/a,n/a,"n/a
",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
18. Mandate electronic filing.,n/a,n/a,"""The most commonly used forms and documents should be formatted to allow for completion and submission online.""",n/a,,n/a [Unclear],n/a,n/a,n/a,n/a,n/a,n/a,"n/a
",n/a,n/a,n/a,n/a,n/a,"Close fit: ""I. Except as otherwise provided in RSA 294-E:12 VI the department of [administrative services] information technology in cooperation with the secretary of state and the department of administrative services shall determine whether and the extent to which a governmental agency will send and accept electronic records and electronic signatures to and from other persons and otherwise create generate communicate store process use and rely upon electronic records and electronic signatures.""",n/a,n/a,,
19. Mandate ongoing publication and updates to data.,"""Most datasets will be released on a daily basis. The feed will contain all new and updated records since the previous releases."" ","""Enter into agreements with our regional partners to publish and maintain public datasets that are open and freely available ... """,n/a,n/a,,n/a,"""All published data sets shall be made available and updated as often as necessary to preserve the integrity and usefulness of the data sets",n/a,"""Such public data sets shall be updated as often as is necessary to preserve the integrity and usefulness of the data sets to the extent that the agency regularly maintains or updates the public data set.""",n/a,"""Each City department and agency shall develop a schedule for making information available to the public and updating it on a regular basis.""","""A public data set must be updated as often as is necessary to preserve the integrity and usefulness of the data set to the extent that the agency regularly maintains or updates the public data set.""","It notes that each city agency shall ""make reasonable and appropriate efforts"" to update its public data on a ""regular basis"" if that agency ""regularly maintains or updates its data sets.""","It requires that data sets ""shall be updated as often as necessary or at least annually to preserve the integrity and usefulness of the data sets"" to the extent that the agency regularly maintians or updates the information. ",The Transparency Advisory Board will define a process for continuous publication of and updates to public information. ,"The Open Data Handbook will establish guidance for ""initial and ongoing publication of data.""","""Each department shall update its electronic data sets in the manner prescribed by the chief information officer and as often as is necessary to preserve the integrity and usefulness of the data sets to the extent that the department regularly maintains or updates the data sets.""",n/a,n/a,n/a,n/a,,
20. Create permanent lasting access to government data.,"Close fit: Although access to the data is not specified for permanence the policy does protect the data-housing sytem. ""Establish and sustain system access necessary for DCStat to periodically gather data electronically"" ",n/a,n/a,"Close fit: ""Department of Technology shall provide and manage a single Internet site (web portal) for the citys public data sets (data.sfgov.org or successor site) called DataSF.",,n/a,n/a,n/a,,n/a,n/a,"Not rigorous enough: ""After a public data set has been available on the web portal for 6 months an agency must not change or terminate collection of data or remove the data set from public access without the approval of the Chief Administrative Officer or the Chief Administrative Officers designee.""","It references a ""successor"" site in addition to the current URL for the citys open data portal but it doesnt not refer to the longevity of the data (except to note that the city can take down data or terminate access when necessary). ",n/a,"It requires guidance to create ""permanent lasting open access to public information."" ","It notes that ""Publishable State Data"" released by this order will be published to ""data.ny.gov or such other successor website maintained by or on behalf of the State"" but doesnt cover the longevity of the data.",n/a,n/a,n/a,n/a,n/a,,
21. Appeal to values and goals.,The guiding principle for streaming to the web is to enable the citizens to understand their governments activities and become knowledgeable participants in improving the quality of life and promoting economic development in the city.,"The City of Portland seeks to encourage the local software community to develop software applications and tools to collect organize and share public data in new and innovative ways. ""Organize a regional contest to encourage the development of software applications to collect organize and share public data.""","The peoples defense from corruption is reasonable and timely access to public records; and ""existing city politices should adhere to high standards that instill trust and confidences of citizens in local government; and"" ""a public commitment by the Office of the Mayor to open government transparency and establishment of new standards will facilitate that will expantion of the publics access to government.""",An open data policy has been shown to drive increased government efficiency and civic engagement leading to social and economic benefits as a result of innovative citizen interaction with government. / Encourages workforce development a positive business environment and public-private partnerships. / All datasets determined to be accessible to the public now and in the future shall be made available through DataSF.org. All Department Heads or their designees shall make reasonable efforts to publish all datasets under their authority consistent with the DataSF authorization policy.,,"[T]he Lexington-Fayette Urban County Government endorses the principles of transparency civic engagement and innovation. It also cites opportunities for combining information and allowing citizens to ""browse interpret and draw attetion to trends or issues with greater efficiency"" encouraging software development and greater government efficiency.","Whereas Open Government is based upon the principles of ""transparency efficiency and collaboration."" The City Council promotes the creation of Open Government Online publishomg open government data through evolving technology the re-use of code and cost-savings and a CfA fellowship while being consisent with FOI.","WHEREAS the City of Raleigh is committed to using technology to foster open transparent and accessible government; and
WHEREAS by sharing data freely the City of Raleigh seeks to develop opportunities for economic development commerce increased investment and civic engagement; and WHEREAS the adoption of open standards improves transparency access to public
information and improved coordination and efficiencies among organizations across the public non-profit and private sectors; and WHEREAS open source standards harnesses the power of distributed peer review and transparency to create high-quality secure and easily integrated software at an accelerated pace and lower cost; and WHEREAS the City of Raleigh seeks to encourage the local software community to develop software applications and tools to collect organize and share public data in new and innovative ways that benefit both citizens and government",n/a,"Open and transparent government is essential for citizens to make informed decisions and hold officials accountable. ""[T]he City of Providence should adhere to high standards which instill trust and confidence of local government in its citizens"" a ""public’s access to its government [is] the people’s ultimate defense from government corruption"" and ""in the spirit of the sentiment “Sunshine is the best disinfectant” as stated by United States Supreme Court Justice Louis Brandeis the City of Providence must make public records and processes transparent and open to public scrutiny in order to expose any government misconduct."" Further a ""people’s right to know the process of governmental decision-making and to review the documents and statistics leading to determinations is basic to our society."" Also ""advances in communications and information technologies have created more opportunities for the public to access information"" and that ""fundamental to democracy is the right of the public to know what City government is doing and how to access the various City departments staff members data and official documents."" ",The policy appeals to the principles of transparency participation and collaboration; cites how the Citys participation as a founding and vital partner in the open data consortium has provided a model for transparency on which the City should continue to build; seeks public feedback and participation; and states how social media can be a means of increasing government transparency and civic engagement.,n/a,It appeals to values of tranpsarency honesty accountability social progress and economic growth.  ,n/a,"It states the board should be guided by principles that encourage ""accountability on the part of those who create maintain manage or store public information or post it to an information website."" among other things.",It aims to promote transparency improve government performance and enhance citizen engagement. ,"It states ""The intent of this Act is to continue and ensure the efforts of the chief information officer in the multi-year multi-phased program open data initiative."" It also states ""The purpose of the initiative is to increase public awareness and access to data and information created by and available from state departments and agencies enhance government transparency and accountability encourage public engagement and stimulate innovation with the development of new analyses or applications based on the unique data provided by the State.""","Cites the values of citizen engagement maximization of creative input lowering costs through sharing software using technology to foster transparency developing opportunities for economic development commerce increased investment and civic engagement supporting the citys brand as being creative and innovative improved service delivery improved citizen self-organization and belief that ""the total value of public data is maximized when provided at minimal cost of distribution.""",n/a,"Open and effective goverment, empowerment. In the introductory language: ""WHEREAS, this Administration is committed to timely and consistent publication of data consistent with the Indiana Access to Public Records Act (APRA) which is essential to open and effective government; and
 WHEREAS, this Administration seeks to empower the citizens of South Bend to participate in governance by providing easy and open access to maximum public data and information consistent with APRA; and""
","Business, transparency, open government, software development, innovation, etc. In the introductory language: ""WHEREAS, Metro Government is the catalyst for creating a world-class city that provides its citizens with safe and vibrant neighborhoods, great jobs, a strong system of education and innovation, and a high quality of life; and WHEREAS, it should be easy to do business with Metro Government. Online government interactions mean more convenient services for citizens and businesses and online government interactions improve the cost effectiveness and accuracy of government operations; and WHEREAS, an open government also makes certain that every aspect of the built environment also has reliable digital descriptions available to citizens and entrepreneurs for deep engagement mediated by smart devices; and WHEREAS, every citizen has the right to prompt, efficient service from Metro Government; and WHEREAS, the adoption of open standards improves transparency, access to public information and improved coordination and efficiencies among Departments and partner organizations across the public, nonprofit and private sectors; and WHEREAS, by publishing structured standardized data in machine readable formats the Louisville Metro Government seeks to encourage the local software community to develop software applications and tools to collect, organize, and share public record data in new and innovative ways; and""",,
How to Implement Policy ,,,,,,,,,,,,,,,,,,,,,,,
22. Create oversight authority.,"""I have directed the Center for Innovation and Reform to establish and lead a steering committee  to help guide the implementation of this initiative and to ensure close coordination with the affected agencies.""",n/a,n/a,Close fit: The policy calls for the creation of the CDO and Data Coordinator positions. / They oversee design assist with compliance etc.,,n/a,"Close fit: Policy calls for the City Manager to ""[r]eport bi-monthly to the Council Emerging Technology and Telecommunications Committee."" and ""to work with the Community Technology and Telecommunications Commission.""",n/a,Close fit: Department of Information Technology and Telecommunications,"Creates new oversight commission to recommend transparency next steps: ""NOW THEREFORE BE IT RESOLVED that the Open Providence Commission for Transparency and Accountability is hereby created. BE IT FURTHER RESOLVED that the Commission shall be chaired by John Marion Executive Director of Common Cause Rhode Island and shall consist of fifteen (15) members: four to be named by the Mayor of the City of Providence four to be named by the City Council President and the following members (or their respective designees): the City Clerk the City Solicitor the Chief Information Officer the Webmaster the Director of ProvStat and the Information Technology Specialist for the Providence City Council.""","""As soon as practicable the Mayor and the Chief Innovation Officer (CIO) will establish an Open Data Working Group to focus on transparency accountability participation and collaboration within City government. The Working Group which will include senior level representation from program and management offices throughout the City will assist the CIO in selecting a Chief Data Officer. The Working Group will also provide a forum to develop innovative ideas for promoting open government goals including collaborations with researchers the private sector and the public and for developing resolutions to issues raised through the public feedback mechanisms of the Open Government Portal.""
""Within 90 days of the Effective Date of this Order the CIO with assistance from the Open Data Working Group shall hire or designate an individual to serve as Chief Data Officer (CDO). The CDO will lead the Open Data and Transparency initiatives outlined in this Order including working with City departments and agencies to establish standards for publication of data and the most effective means for making such data available. The CDO will report to the Chief Innovation Officer.""
""Within 120 days from the Effective Date of this Order the Mayor shall appoint a Data Governance Advisory Board. The Board shall consist of nine members including the Chief Innovation Officer and the CDO and shall be chaired by an individual designated by the Mayor. The Open Data Working Group shall solicit nominations for members of the Advisory Board and shall recommend appointments from the public private academic and nonprofit sectors. The Advisory Board shall meet regularly at such times as the Board decides and its members shall serve at the pleasure of the Mayor.""","""The Chief Administrative Officer must report quarterly to the Council on the Executive Branchs compliance with the Maryland Public Information Act. The report must cite the statutory exception that supports each denial or partial denial ofan information·request.""",It calls for the creation of a Chief Data Officer and the appointment of Data Coordinators as well as an open data advisory group to assist the Dept. of Technology on the creation of a annual open data compliance report. ,"Although the Information Technology Department is not responsible for identifying or publishing data sets it is reuired that if agencies ""cannot or will not make all of its publicly available data sets available through the citys website the agency shall file a written report with teh IT Department and with teh Common Council setting forth"" which data wont be published why and the date by which it expects to be able to make that data available.",It moves the Transparency Advisory Board from the Division of Finance to the Department of Adminsitrative Services modifies the boards members and expands its duties.,"It creates a ""Data Working Group"" made up of representatives from the state Technical Service and Information Security division the NY State Office of General Services the Division of Budget a representative from the Department of state with expertise in local government and 8 - 12 Data Coordinators. The main function is to aid the Chief Data Officer in implementation of the guidance created by the Open Data Handbook (which they will consult on).","It ""Requires the Chief Information Officer to develop policies and procedures to implement the open data initiative.""","It establishes an unnamed ""committee of City employees and local volunteers to aide in the achievement of above goals.""","""I. The commissioner shall assist state agencies in the purchase or creation of data processing devices or systems that comply with open standards for the accessing storing or transferring of data.""",§3 & §4 cover the creation of a an open data management team and appointing open data coordinators at each agency. ,"Creates an Open Data Management Team. ""Section 3. Open Data Management Team.
(A) The Chief Information Officer (CIO) of Louisville Metro Government will work with the head of each Department to identify a Data Coordinator in each Department. Data Coordinators will serve as members of an Open Data Management Team facilitated by the CIO and Metro Technology Services. The Open Data Management Team will work to establish a robust, nationally recognized, platform that addresses digital infrastructure and Open Data. (B) The Open Data Management Team will develop an Open Data management policy that will adopt prevailing Open Format standards for Open Data, and develop agreements with regional partners to publish and maintain Open Data that is open and freely available while respecting exemptions allowed by the Kentucky Open Records Act or other federal or state law.""
",,
